nom,structure_porteuse,description,type_lieu,statut,nature_juridique,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_commune,adresse_departement,adresse_region,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_details,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,tarifs,accessibilite,services,labels
Association Fium'Altu,,,,,,,Rue de l'ancienne gare 20213 Folelli,,Residence le Belvedere Folelli,20213,2B207,Penta-di-Casinca,Haute-Corse,Corse,42.444213,9.510236,,Non,0495368928,,,,,,,,,,,,,
FabLab Corte,,,,,,,"Palazzu Naziunale, Haute Ville 20250 Corte",,Rue du Palais National,20250,2B096,Corte,Haute-Corse,Corse,42.304873,9.149453,,Non,0420202233,,,,,,,,,,,,,
Association du Canton de Calenzana,,,,,,,Maison St. Michel 20214 Calenzana,,Maisons Neuves,20214,2B049,Calenzana,Haute-Corse,Corse,42.50849,8.856672,,Non,0495486553,,,,,,,,,,,,,
FabLab Ajaccio,,,,,,,"Residence Le Preau, 3 Avenue Napoleon III 20000 Ajaccio",3,Avenue Napoléon 3,20000,2A004,Ajaccio,Corse-du-Sud,Corse,41.926226,8.734841,,Non,0495523337,,,,,,,,,,,,,
Mission locale,,,,,,,"Hotel Castel-Vecchio, 7 Rue Paul Colonna 20090 Ajaccio",7,Rue Paul Colonna d'Istria,20090,2A004,Ajaccio,Corse-du-Sud,Corse,41.933476,8.740383,,Non,0495209238,,,,,,,,,,,,,
Syndicat Mixte du Giussani,,,,,,,Maison Battaglini 20259 Olmi-Cappella,,Pinelli,20259,2B190,Olmi-Cappella,Haute-Corse,Corse,42.527237,9.024455,,Non,0495356884,,,,,,,,,,,,,
Centre Régional Information Jeunesse 2A,,,,,,,"71, Cours Napoleon 20000 Ajaccio",71,Cours Napoléon,20000,2A004,Ajaccio,Corse-du-Sud,Corse,41.926928,8.738179,,Non,0495226842,,,,,,,,,,,,,
Mairie de Grosseto-Prugna,,,,,,,Place de l'eglise 20128 Grosseto-Prugna,,Allee de la Plage,20128,2A130,Grosseto-Prugna,Corse-du-Sud,Corse,41.893655,8.806742,,Non,0495510618,,,,,,,,,,,,,
Mairie de l'Ile-Rousse,,,,,,,"6 avenue Paul Doumer, Centre Jean Simi 20220 Ile Rousse",6,Avenue Paul Doumer,20220,2B134,L'Île-Rousse,Haute-Corse,Corse,42.632557,8.940117,,Non,0495110320,,,,,,,,,,,,,
Association FALEP 2A,,,,,,,"Immeuble Louisiane Batiment B, 16 Rue Paul Colonna d'Istria 20181 Ajaccio Cedex 01",16,Rue Paul Colonna d'Istria,20090,2A004,Ajaccio,Corse-du-Sud,Corse,41.934389,8.739034,,Non,0495214197,,,,,,,,,,,,,
Opra A Leccia Comité de Quartier,,,,,,,"Centre social François Marchetti, Route Royale 20200 Bastia",,Montee Saint Francois,20200,2B033,Bastia,Haute-Corse,Corse,42.70074,9.448532,,Non,0495301205,,,,,,,,,,,,,
Association FALEP 2B,,,,,,,Maison des associations du quartier San Angelo 20200 Bastia,,Place Maison des Associations,26420,26074,La Chapelle-en-Vercors,Drôme,Auvergne-Rhône-Alpes,44.968471,5.414278,,Non,0495361762,,,,,,,,,,,,,
SIVU di l'Altu di Casacconi,,,,,,,"Lieu-dit Precojo, RD 154 20290 Casamozza",,Casamozza,20290,2B148,Lucciana,Haute-Corse,Corse,42.520496,9.439169,,Non,0495383575,,,,,,,,,,,,,
Montegrosso - Association du Canton de Calenzana,,,,,,,20214 Montegrosso,,Montegrosso,20214,2B167,Montegrosso,Haute-Corse,Corse,42.536361,8.846772,,Non,0495597370,,,,,,,,,,,,,
Association A Rinascita,,,,,,,"7, Rue du Colonnel Feracci 20250 Corte",7,Rue Colonel Ferracci,20250,2B096,Corte,Haute-Corse,Corse,42.307891,9.14953,,Non,0495540986,,,,,,,,,,,,,
Association Alpha,,,,,,,"Batiment 17 A/B, Cite Aurore 20600 Bastia",,Cite Aurore,20200,2B033,Bastia,Haute-Corse,Corse,42.70212,9.450756,,Non,0495308709,,,,,,,,,,,,,
Association familiale A Casinca,,,,,,,"Batiment E17, cite Erilia 20215 Vescovato",,Orsaticcia,20215,2B346,Vescovato,Haute-Corse,Corse,42.499228,9.45239,,Non,0495364456,,,,,,,,,,,,,
Maison des quartiers Sud de Bastia,,,,,,,Rue Saint Exupery 20600 Bastia,,Rue Saint Exupery,20600,2B033,Bastia,Haute-Corse,Corse,42.679572,9.441892,,Non,0495550913,,,,,,,,,,,,,
Mairie d'Aleria,,,,,,,Maison des associations 20270 Aleria,,Place Maison des Associations,26420,26074,La Chapelle-en-Vercors,Drôme,Auvergne-Rhône-Alpes,44.968471,5.414278,,Non,0495579477,,,,,,,,,,,,,
Association APii,,,,,,,Ecole de Travu 20240 Ventiseri,,Pont de Travo,20240,2B342,Ventiseri,Haute-Corse,Corse,41.954345,9.39587,,Non,0495311968,,,,,,,,,,,,,
Mairie d'Oletta,,,,,,,Immeuble A Stalla 20232 Oletta,,Bocca Alla Frata,20232,2B185,Oletta,Haute-Corse,Corse,42.646188,9.312292,,Non,0495370421,,,,,,,,,,,,,
Centre Régional Information Jeunesse 2B,,,,,,,"9, Rue Cesar Campinchi 20600 Bastia",9,Rue César Campinchi,20200,2B033,Bastia,Haute-Corse,Corse,42.69862,9.448665,,Non,0495321213,,,,,,,,,,,,,
